Well_ID;Rec_ID;Week;Sex;Gr_size;Arena;N_comp;N_females;F1_ID;N_MTP1_1;N_RD_1;F2_ID;N_MTP1_2;N_RD_2;F3_ID;N_MTP1_3;N_RD_3;F4_ID;N_MTP1_4;N_RD_4;F5_ID;N_MTP1_5;N_RD_5;F6_ID;N_MTP1_6;N_RD_6;MatingDuration_av;Matings_number;MatingPartners_number;AttemptDuration_av;Attempts_number;AttemptPartners_number;Cop_Fe_1;Cop_Fe_2;Cop_Fe_3;Cop_Fe_4;Cop_Fe_5;Cop_Fe_6;Body_mass_mg_focal;Mass_reproducibility_mg_focal;N_contact_WT;N_contact_RD;contacts_wt_ind;contacts_rd_ind;Total_N_MTP1;Total_N_Rd;m_prop_RS;f_prop_RS;Prop_MS;Total_Encounters;Treatment;gMS;m_RS_Rd_comp;m_RS_Rd_comp_full;m_TotMatings;m_MatingDuration_av;m_Attempts_number;m_Prop_MS;m_Total_Encounters;m_RS;m_cMS;m_meanCop;m_InSuc;m_feSuc;m_PS;m_pFec;m_pFec_compl;f_TotMatings;f_MatingDuration_av;f_Attempts_number;f_Prop_MS;f_Total_Encounters;f_RS;f_cMS;f_meanCop;meanCop;f_fec_pMate
29;V05;1;F;LG;Small;5;6;127;0;0;128;0;0;129;0;0;130;0;0;131;0;0;132;0;36;40;1;1;15.5;2;1;NA;NA;NA;NA;NA;NA;1.76;NA;145;112;24.16666667;22.4;0;7.2;NA;0;0.333333333;3;D = 1.33;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;40;2;0.333333333;3;0;1;1;1;0
30;V05;1;M;SG;Small;2;3;133;0;0;134;0;83;135;0;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;41;1;1;13.81;16;3;1;0;0;0;0;0;2.02;2;151;119;50.33333333;59.5;0;81.5;0;NA;0.058823529;17;D = 0.67;0;0;0;1;41;16;0.058823529;17;0;1;1;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
31;V06;1;F;LG;Large;5;6;136;0;0;137;0;81;138;0;71;139;0;0;140;0;43;141;0;90;115.5;2;2;17.5;2;2;NA;NA;NA;NA;NA;NA;1.79;NA;126;104;21;20.8;0;57;NA;0;0.5;4;D = 0.52;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;115.5;2;0.5;4;0;2;1;1;0
32;V06;1;M;SG;Large;2;3;142;38;44;143;0;56;144;18;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;89.67;3;3;21.89;9;3;1;1;1;0;0;0;1.79;NA;117;123;39;61.5;56;71;44.09448819;NA;0.25;12;D = 0.26;2;86;142;3;89.67;9;0.25;12;56;3;1;0.666666667;0.394366197;0.262910798;71;66;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
33;V06;1;M;SG;Large;2;3;145;0;0;146;0;0;147;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;1;1;11;3;3;0;0;1;0;0;0;1.78;1.8;82;77;27.33333333;38.5;0;0;NA;NA;0.25;4;D = 0.26;0;0;0;1;57;3;0.25;4;0;1;1;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
34;V06;1;F;LG;Large;5;6;148;0;0;149;0;95;150;0;103;151;0;60;152;0;0;153;0;0;45;1;1;0;0;0;NA;NA;NA;NA;NA;NA;1.76;NA;111;69;18.5;13.8;0;51.6;NA;0;1;1;D = 0.52;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;45;0;1;1;0;1;1;1;0
35;V06;1;F;SG;Large;2;3;154;0;0;155;0;0;156;0;99;NA;NA;NA;NA;NA;NA;NA;NA;NA;56.5;2;2;17.63;8;3;NA;NA;NA;NA;NA;NA;2.06;NA;57;23;19;11.5;0;49.5;NA;0;0.2;10;D = 0.26;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;56.5;8;0.2;10;0;2;1;1;0
36;V06;1;M;LG;Large;5;6;157;0;0;158;0;0;159;0;0;160;0;68;161;0;0;162;100;0;80.33;3;3;14.33;3;3;0;1;0;1;0;1;1.78;1.74;134;148;22.33333333;29.6;100;13.6;88.02816901;NA;0.5;6;D = 0.52;1;0;68;3;80.33;3;0.5;6;100;3;1;0.333333333;1;0.333333333;100;56;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
37;V07;1;M;SG;Small;2;3;163;57;71;164;74;39;165;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;56.67;3;2;17.16;6;2;2;1;0;0;0;0;1.43;NA;128;108;42.66666667;54;131;55;70.43010753;NA;0.333333333;9;D = 0.67;2;110;110;3;56.67;6;0.333333333;9;131;2;1.5;1;0.543568465;0.543568465;120.5;120.5;NA;NA;NA;NA;NA;NA;NA;NA;1.5;NA
38;V07;1;F;SG;Small;2;3;166;118;0;167;0;71;168;0;95;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;2;2;15.5;2;1;NA;NA;NA;NA;NA;NA;2.41;2.39;145;110;48.33333333;55;118;83;NA;58.70646766;0.5;4;D = 0.67;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;45;2;0.5;4;118;2;1;1;59
